Questions;Answers;;;;
Bitte geben Sie ihre Altersklasse an.;25-39;;;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;;
Weißwein Farbe.;strohgelb;;;;
Weißwein Geruch.;Maracuja;Mango;Grapefruit;grüne Paprika;
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit wenig;;
Weißwein Geschmack;Alkohol mittel;Abgang lang; ; ; 
Weißwein Gesamteindruck.;akzeptabel;;;;
Rotwein Farbe.;granatrot;;;;
Rotwein Geruch.;reife Süßkirsche;Brombeere;getrocknete Pflaume;Vanille;Kiefernadel
Rotwein Geschmack;Süße mittel;Säure mittel;Bitterkeit mittel;;
Rotwein Geschmack;Alkohol mittel;Abgang mittel; ; ; 
Rotwein Gesamteindruck.;sehr gut;;;;
Zeit in Sekunden;613;;;;
