Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;40-54;;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;;
Weißwein Farbe.;grüngelb;;;
Weißwein Geruch.;Maracuja;Mango;;
Weißwein Geschmack;Süße mittel;Säure mittel;Bitterkeit keine Angabe;keine Angabe
Weißwein Geschmack;Alkohol mittel;Abgang lang; ; 
Weißwein Gesamteindruck.;sehr gut;;;
Rotwein Farbe.;hellrot;;;
Rotwein Geruch.;Brombeere;;;
Rotwein Geschmack;Süße wenig;Säure viel;Bitterkeit viel;
Rotwein Geschmack;Alkohol viel;Abgang viel; ; 
Rotwein Gesamteindruck.;akzeptabel;;;
Zeit in Sekunden;665;;;
