Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;16-24;;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;
Weißwein Farbe.;strohgelb;;;
Weißwein Geruch.;Grapefruit;grüne Paprika;Gras;
Weißwein Geschmack;Süße mittel;Säure wenig;Bitterkeit wenig;
Weißwein Geschmack;Alkohol wenig;Abgang mittel; ; 
Weißwein Gesamteindruck.;sehr gut;;;
Rotwein Farbe.;hellrot;;;
Rotwein Geruch.;reife Süßkirsche;Vanille;Kiefernadel;buttrig / Molke
Rotwein Geschmack;Süße mittel;Säure mittel;Bitterkeit viel;
Rotwein Geschmack;Alkohol mittel;Abgang wenig; ; 
Rotwein Gesamteindruck.;gut;;;
Zeit in Sekunden;572;;;
