Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;25-39;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;grüngelb;;
Weißwein Geruch.;Maracuja;Mango;Grapefruit
Weißwein Geschmack;Süße mittel;Säure wenig;Bitterkeit wenig
Weißwein Geschmack;Alkohol mittel;Abgang mittel; 
Weißwein Gesamteindruck.;sehr gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;Brombeere;getrocknete Pflaume;Kaffee
Rotwein Geschmack;Süße wenig;Säure viel;Bitterkeit viel
Rotwein Geschmack;Alkohol viel;Abgang keine Angabe; 
Rotwein Gesamteindruck.;sehr gut;;
Zeit in Sekunden;403;;
