Questions;Answers;;;
Bitte geben Sie ihre Altersklasse an.;40-54;;;
Bitte geben Sie ihr Geschlecht an.;Männlich;;;
Bitte geben Sie ihre VR Erfahrung an.;Dies ist mein erstes Mal VR;;;
Weißwein Farbe.;grüngelb;;;
Weißwein Geruch.;Maracuja;Mango;Grapefruit;Gras
Weißwein Geschmack;Süße wenig;Säure mittel;Bitterkeit mittel;
Weißwein Geschmack;Alkohol mittel;Abgang mittel; ; 
Weißwein Gesamteindruck.;gut;;;
Rotwein Farbe.;hellrot;;;
Rotwein Geruch.;Brombeere;getrocknete Pflaume;Vanille;buttrig / Molke
Rotwein Geschmack;Süße mittel;Säure wenig;Bitterkeit mittel;
Rotwein Geschmack;Alkohol viel;Abgang mittel; ; 
Rotwein Gesamteindruck.;akzeptabel;;;
Zeit in Sekunden;516;;;
