Questions;Answers;;
Bitte geben Sie ihre Altersklasse an.;40-54;;
Bitte geben Sie ihr Geschlecht an.;Weiblich;;
Bitte geben Sie ihre VR Erfahrung an.;Weniger oft;;
Weißwein Farbe.;strohgelb;;
Weißwein Geruch.;Maracuja;Gras;
Weißwein Geschmack;Süße wenig;Säure viel;Bitterkeit viel
Weißwein Geschmack;Alkohol mittel;Abgang lang; 
Weißwein Gesamteindruck.;gut;;
Rotwein Farbe.;granatrot;;
Rotwein Geruch.;getrocknete Pflaume;Leder;
Rotwein Geschmack;Süße mittel;Säure mittel;Bitterkeit mittel
Rotwein Geschmack;Alkohol wenig;Abgang wenig; 
Rotwein Gesamteindruck.;gut;;
Zeit in Sekunden;723;;
