Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>364</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Zitrus;Apfel;Birne;2;3;6;7
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dominante Säure;Alkoholisch;SchmelzCremig;Holz;5;7;8;9
Bitte ordnen Sie der Probe <color=red>720</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Birne;ButtrigLaktisch;Holz; ;7;9;10; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dezente Säure;SchmelzCremig;Holz; ;3;8;9; 
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Zitrus;Pfirsich;Apfel; ;3;5;6; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Leichte Süße; ; ; ;0; ; ; 
Proband ID;10; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Weinkeller; ; ; 
