Questions;Answers;;;;;Indexes;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;medium yellow; ; ; ; ;1; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;peach;apple;pear; ;0;7;8;9; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;acidic;bitter;low sweetness; ; ;2;6;7; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>720</color>.;medium yellow; ; ; ; ;1; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;vegetal;butterlactic;apple;wood; ;2;3;8;11; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;acidic;high alcohol;bitter;buttercream; ;2;3;6;9; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;medium yellow; ; ; ; ;1; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;floral;honeydew;peach;rose;0;1;6;7;10
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;acidic;high acidity; ; ; ;2;8; ; ; 
Proband ID;19; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Weißwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
