Questions;Answers;Indexes
Schauen Sie sich im virtuellen Raum einmal um, um die folgenden Fragen zu beantworten.;Verstanden.;0
Ich fühlte mich im virtuellen Raum anwesend.  <b>1:</b> Trifft gar nicht zu - <b>7:</b> Trifft völlig zu;6;5
Wie bewußt war Ihnen die reale Welt, während Sie sich durch die virtuelle Welt bewegten (z.B. Geräusche, andere Personen)?  <b>1:</b> Extrem bewußt - <b>7:</b> Unbewußt;5;4
Ich achtete noch auf die reale Umgebung.  <b>1:</b> Trifft gar nicht zu - <b>7:</b> Trifft völlig zu;2;1
Meine Aufmerksamkeit war von der virtuellen Welt völlig in Bann gezogen.  <b>1:</b> Trifft gar nicht zu - <b>7:</b> Trifft völlig zu;3;2
Wie sehr glich Ihr Erleben der virtuellen Umgebung dem Erleben einer realen Umgebung?  <b>1:</b> Überhaupt nicht - <b>7:</b> Vollständig;5;4
Proband ID;22
Studie;CATA
Studie Variante;Rotwein
Umgebung;Weinkeller
