Questions;Answers;;;;Indexes;;;
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;medium yellow; ; ; ;1; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;floral;honeydew;apple;0;1;6;8
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;acidic;high alcohol;low sweetness; ;2;3;7; 
Please pick a fitting <color=red>color</color> for sample <color=red>720</color>.;pale yellow; ; ; ;0; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;butterlactic;honeydew;wood;0;3;6;11
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low acidity;buttercream; ; ;4;9; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;medium yellow; ; ; ;1; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;lemon;peach;apple;pear;5;7;8;9
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low sweetness;high acidity; ; ;7;8; ; 
Proband ID;13; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Sensoriklabor; ; ; 
