Questions;Answers;;;;;Indexes;;;;
Bitte ordnen Sie der Probe <color=red>322</color> die entsprechende <color=red>Farbe</color> zu.;Rubinrot; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Erdbeere;Kirsche;Dunkle Beeren; ; ;1;2;3; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Süß; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Rubinrot; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Dunkle Beeren;Pflaume;Würzig;Pfeffer;Rauchig;3;4;6;9;10
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dominante Säure;Alkoholisch;Tannine;Holz; ;4;6;8;9; 
Proband ID;10; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Rotwein; ; ; ; 
Umgebung;Weinkeller; ; ; ; 
