Questions;Answers;;;;;Indexes;;;;
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Rubinrot; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Würzig;Kirsche;Vanille;Holz;0;2;6;10;12
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Tannine;Sauer;Holz; ; ;2;3;6; ; 
Bitte ordnen Sie der Probe <color=red>983</color> die entsprechende <color=red>Farbe</color> zu.;Hellrot mit braunem Rand; ; ; ; ;0; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Vegetativ;Würzig;Rauchig;Kirsche; ;1;2;3;6; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Holz;Dominante Säure; ; ; ;6;9; ; ; 
Proband ID;6; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Rotwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
