Questions;Answers;;;;;Indexes;;;;
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende <color=red>Farbe</color> zu.;Mittleres gelb; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Zitrus;Pfirsich;Birne;ButtrigLaktisch;2;3;5;7;9
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Sauer; ; ; ; ;4; ; ; ; 
Bitte ordnen Sie der Probe <color=red>597</color> die entsprechende <color=red>Farbe</color> zu.;Mittleres gelb; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Honigmelone;ButtrigLaktisch;Holz; ; ;4;9;10; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Leichte Süße;Dezente Säure;Bitter;Holz; ;0;3;6;9; 
Bitte ordnen Sie der Probe <color=red>720</color> die entsprechende <color=red>Farbe</color> zu.;Mittleres gelb; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Blumig;Honigmelone;ButtrigLaktisch;Dumpf; ;0;4;9;11; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Leichte Süße;Dezente Säure;SchmelzCremig; ; ;0;3;8; ; 
Proband ID;26; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Weißwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
