Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>597</color> die entsprechende <color=red>Farbe</color> zu.;Gelblich-grün; ; ; ;2; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Zitrus;Pfirsich;Birne;0;5;7;9
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dezente Säure;Bitter;Leichte Süße;SchmelzCremig;4;6;7;9
Bitte ordnen Sie der Probe <color=red>364</color> die entsprechende <color=red>Farbe</color> zu.;Gelblich-grün; ; ; ;2; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Blumig;Zitrus;Rose; ;1;5;10; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dezente Säure; ; ; ;4; ; ; 
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Zitrus;Pfirsich; ; ;5;7; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dezente Säure; ; ; ;4; ; ; 
Proband ID;7; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Weinkeller; ; ; 
