Questions;Answers;;;;Indexes;;;
Please pick a fitting <color=red>color</color> for sample <color=red>720</color>.;yellow-green; ; ; ;2; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;lemon;apple;pear;vegetal;3;6;7;8
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low sweetness;medium acidity;buttercream; ;0;4;8; 
Please pick a fitting <color=red>color</color> for sample <color=red>597</color>.;medium yellow; ; ; ;1; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;honeydew;peach;apple; ;4;5;6; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low sweetness;medium acidity;bitter; ;0;4;6; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;medium yellow; ; ; ;1; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;floral;honeydew;butterlactic; ;0;4;9; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;low sweetness;medium acidity;bitter;buttercream;0;4;6;8
Proband ID;11; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Weinkeller; ; ; 
