Questions;Answers;;;;;Indexes;;;;
Please pick a fitting <color=red>color</color> for sample <color=red>131</color>.;pale yellow; ; ; ; ;0; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;fruity;lemon;peach;apple;pear;2;3;5;6;7
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;medium sweetness;high acidity; ; ; ;1;5; ; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>597</color>.;pale yellow; ; ; ; ;0; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;honeydew;apple;wood; ; ;4;6;10; ; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;high sweetness;medium acidity;buttercream; ; ;2;4;8; ; 
Please pick a fitting <color=red>color</color> for sample <color=red>364</color>.;pale yellow; ; ; ; ;0; ; ; ; 
Please pick a fitting <color=red>aroma</color> for the sample. You can choose multiple answers!;floral;rose;fruity;honeydew; ;0;1;2;4; 
Please pick a fitting <color=red>taste</color> for the same sample.You can choose multiple answers!;medium sweetness;low acidity;bitter;high alcohol; ;1;3;6;7; 
Proband ID;4; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Weißwein; ; ; ; 
Umgebung;Weinkeller; ; ; ; 
