Questions;Answers;;;;;Indexes;;;;
Bitte ordnen Sie der Probe <color=red>644</color> die entsprechende <color=red>Farbe</color> zu.;Rubinrot; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Kirsche;Dunkle Beeren;Pflaume;Vanille; ;2;3;4;8; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Leichte Süße;Bitter;Adstringierend;Tannine;Holz;0;5;7;8;9
Bitte ordnen Sie der Probe <color=red>322</color> die entsprechende <color=red>Farbe</color> zu.;Hellrot mit braunem Rand; ; ; ; ;0; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Erdbeere;Vegetativ;Würzig;Pfeffer;Rauchig;1;5;6;9;10
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Leichte Süße;Dezente Säure;Bitter;Adstringierend; ;0;2;5;7; 
Proband ID;25; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Rotwein; ; ; ; 
Umgebung;Sensoriklabor; ; ; ; 
