Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Zitrus;Pfirsich;Apfel;2;3;5;6
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Leichte Süße;Sauer; ; ;0;4; ; 
Bitte ordnen Sie der Probe <color=red>597</color> die entsprechende <color=red>Farbe</color> zu.;Mittleres gelb; ; ; ;1; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Honigmelone;Birne;ButtrigLaktisch;Holz;4;7;9;10
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Süß;Dezente Säure;SchmelzCremig; ;1;3;8; 
Bitte ordnen Sie der Probe <color=red>364</color> die entsprechende <color=red>Farbe</color> zu.;Mittleres gelb; ; ; ;1; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Blumig;Rose;Fruchtig; ;0;1;2; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Starke Süße;Dezente Säure;Bitter;Alkoholisch;2;3;6;7
Proband ID;8; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Weinkeller; ; ; 
