Questions;Answers;;;;;Indexes;;;;
Bitte ordnen Sie der Probe <color=red>322</color> die entsprechende <color=red>Farbe</color> zu.;Dunkelrot mit bläul. Reflexen; ; ; ; ;2; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Vegetativ;Dumpf;Erdbeere;Pflaume;Vanille;1;4;5;8;10
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Süß;Sauer;Alkoholisch;Bitter; ;0;3;4;7; 
Bitte ordnen Sie der Probe <color=red>983</color> die entsprechende <color=red>Farbe</color> zu.;Rubinrot; ; ; ; ;1; ; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Würzig;Rauchig;Kirsche;Pfeffer; ;2;3;6;11; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Sauer;Alkoholisch;Bitter; ; ;3;4;7; ; 
Proband ID;6; ; ; ; 
Studie;CATA; ; ; ; 
Studie Variante;Rotwein; ; ; ; 
Umgebung;Weinkeller; ; ; ; 
