Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Buttriglaktisch;Birne;Holz;0;3;9;11
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dezente Säure;Holz;Leichte Süße;SchmelzCremig;4;5;7;9
Bitte ordnen Sie der Probe <color=red>364</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Blumig;Rose; ; ;1;10; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Dezente Säure;Bitter; ; ;4;6; ; 
Bitte ordnen Sie der Probe <color=red>720</color> die entsprechende <color=red>Farbe</color> zu.;Mittleres gelb; ; ; ;1; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Holz; ; ; ;11; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Holz;Bitter;SchmelzCremig; ;5;6;9; 
Proband ID;7; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Sensoriklabor; ; ; 
