Questions;Answers;;;;Indexes;;;
Bitte ordnen Sie der Probe <color=red>597</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Fruchtig;Zitrus;Pfirsich;ButtrigLaktisch;2;3;5;9
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Starke Süße;Bitter;SchmelzCremig; ;2;6;8; 
Bitte ordnen Sie der Probe <color=red>131</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Blumig;Rose;Pfirsich;Birne;0;1;5;7
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Leichte Süße;Dezente Säure; ; ;0;3; ; 
Bitte ordnen Sie der Probe <color=red>364</color> die entsprechende <color=red>Farbe</color> zu.;Hellgelb; ; ; ;0; ; ; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geruch</color> zu.Mehrfachnennungen sind möglich!;Blumig;Rose;Fruchtig; ;0;1;2; 
Bitte ordnen Sie derselben Probe den entsprechenden <color=red>Geschmack</color> zu.Mehrfachnennungen sind möglich!;Süß;SchmelzCremig; ; ;1;8; ; 
Proband ID;24; ; ; 
Studie;CATA; ; ; 
Studie Variante;Weißwein; ; ; 
Umgebung;Weinkeller; ; ; 
